Merchant Name,Sum of Syn Gross Amount,Sum of Syn Net Amount,Total Servicing Fee
Acosta Angeli Construction INC.,338.64,328.48,10.16
Amany Convenience LLC,28.58,27.72,0.86
"American Dental of LaGrange, LLC",155.47,150.81,4.66
American Fundraising Group LLC,332.5,322.52,9.98
Apex Industrial Facility Services LLC,393.75,381.94,11.81
"ArtLog, Inc.",540.0,523.8,16.2
Axispoint INC And Subsidiaries,375.0,363.75,11.25
Blackhat Chimney & Fireplace Inc.,317.33,307.81,9.52
"Brick & Cork, Inc.",67.63,65.6,2.03
CCBBQ Restaurant LLC,297.49,288.57,8.92
Care At Home Private Care LLC,0.0,0.0,0.0
"Carolina Grading Service, Inc.",659.71,639.92,19.79
"Certified Mailing Solutions, Inc.",0.0,0.0,0.0
"Champion Contractors, LLC",361.11,350.28,10.83
Chara Software LLC,0.0,0.0,0.0
"Concept 32, INC",282.69,274.21,8.48
"Controlled Environments Construction, Inc.",355.0,344.35,10.65
"D.A.O. Accounting, Consulting, and Taxation, Inc",241.66,234.41,7.25
Eclub Deals Inc.,278.0,269.66,8.34
G2D Development Corp,641.17,621.93,19.24
GDCatering LLC,70.0,67.9,2.1
"Galaxy Venture Capital, LLC",64.05,62.13,1.92
"Gorilla Gadgets, LLC",278.0,269.66,8.34
IAG Construction Inc,676.19,655.9,20.29
"Imperium Enterprises, Inc.",123.75,120.04,3.71
"Integrated USA Systems, LLC",0.0,0.0,0.0
JamBah Imports LLC,0.0,0.0,0.0
"Kaival Brands Innovations Group, Inc.",617.14,598.63,18.51
Lat-Depot LLC,0.0,0.0,0.0
Lettus LLC,0.0,0.0,0.0
"Livecare, INC.",386.39,374.8,11.59
"M-Den, Inc.",0.0,0.0,0.0
"Maryland Medical Day Services, LLC.",0.0,0.0,0.0
McQueen Companies LLC,551.24,534.71,16.53
N & S International Company Corp,0.0,0.0,0.0
"Peachy Athletic, LLC",194.48,188.65,5.83
"Rallis, LLC",253.12,245.53,7.59
Ravi GI Associates PA LLP,0.0,0.0,0.0
S1 Security Group Inc,379.62,368.23,11.39
Sotos Drywall Hanging And Finish Inc,0.0,0.0,0.0
"Steve Hightower Family Farms, LLC",192.0,186.24,5.76
Strange Bird LLC,0.0,0.0,0.0
"Strategic Print Solutions, INC.",450.0,436.5,13.5
Synergy 768 Inc,440.0,426.8,13.2
Tresna Group Corporation,191.16,185.42,5.74
"United Security Specialists, Inc.",236.26,229.17,7.09
"Water Wheel Rentals, LLC",0.01,0.01,0.0
Wires Only INC,76.36,74.07,2.29
